"Tomatenscheiben","Tomatenscheiben"
"Schinken","Schinken"
"Auberginen","Auberginen"
"Artischocken","Artischocken"
"Ei","Ei"
"Rohschinken","Rohschinken"
"Meeresfrüchte","Meeresfrüchte"
"Scharfe Salami","Scharfe Salami"
"Ananas","Ananas"
"Broccoli","Broccoli"
"Champignons","Champignons"
"Thon","Thon"
"Basilikum","Basilikum"
"Knoblauch","Knoblauch"
"Mascarpone","Mascarpone"
"Tabasco","Tabasco"
"Tomaten","Tomaten"
"Gorgonzola","Gorgonzola"
"Kapern","Kapern"
"Peperoni","Peperoni"
"Pouletfleisch","Pouletfleisch"
"Grana Padano","Grana Padano"
"Blattspinat","Blattspinat"
"Rucola","Rucola"
"Feta","Feta"
"Oregano","Oregano"
"Rindfleisch","Rindfleisch"
"Salami","Salami"
"Sardellen","Sardellen"
"Speck","Speck"
"Mozzarella","Mozzarella"
"Oliven","Oliven"
"Peperoncini","Peperoncini"
"Steinpilze","Steinpilze"
"Zwiebeln","Zwiebeln"
"Mais","Mais"
"keinem Topping","keinem Topping","Nein"
